[Tue Jan  7 22:56:11 2025],[DEBUG] : StartDebugging
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 750, Adjsted : 600
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 100.000000 , Elo : 900, Adjsted : 1080
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
